Date,Open,High,Low,Close,Adj Close,Volume
2022-09-23,36.250000,36.700001,34.950001,35.200001,34.296658,5371546
2022-09-26,34.950001,34.950001,33.400002,33.650002,32.786438,4700031
2022-09-27,33.750000,34.250000,33.349998,33.599998,32.737717,2082800
2022-09-28,33.349998,34.099998,33.000000,33.200001,32.347984,1625666
2022-09-29,33.500000,33.799999,32.849998,32.950001,32.104401,1735107
2022-09-30,33.000000,34.000000,32.950001,33.700001,32.835152,5753854
2022-10-03,34.049999,36.450001,33.900002,35.900002,34.978695,15187837
2022-10-04,36.700001,37.000000,35.700001,35.849998,34.929974,7630575
2022-10-06,36.000000,37.099998,35.799999,36.299999,35.368427,8076196
2022-10-07,36.250000,36.599998,35.750000,36.000000,35.076126,3984607
2022-10-10,35.950001,39.299999,35.500000,38.500000,37.511971,33430971
2022-10-11,38.700001,39.000000,36.700001,36.849998,35.904308,13514062
2022-10-12,37.000000,37.700001,36.799999,37.000000,36.050465,5951285
2022-10-13,37.099998,37.450001,36.650002,36.799999,35.855595,5302937
2022-10-14,37.299999,38.250000,36.650002,36.799999,35.855595,8736716
2022-10-17,36.849998,38.299999,36.599998,37.799999,36.829933,9253995
2022-10-18,38.250000,38.599998,37.500000,37.849998,36.878647,9051597
2022-10-19,38.000000,38.200001,36.900002,37.049999,36.099178,4189566
2022-10-20,37.049999,37.200001,35.549999,35.750000,34.832539,12843853
2022-10-21,35.950001,36.700001,35.799999,36.099998,35.173557,4419964
2022-10-24,36.500000,37.349998,36.299999,37.150002,36.196613,2595886
2022-10-25,37.349998,40.150002,36.900002,39.450001,38.437588,32375078
2022-10-27,39.900002,42.049999,38.900002,41.250000,40.191395,27430574
2022-10-28,41.000000,41.900002,40.450001,40.650002,39.606796,13324447
2022-10-31,41.000000,41.500000,39.799999,40.000000,38.973473,10055200
2022-11-01,40.099998,41.299999,39.599998,40.200001,39.168343,11478229
2022-11-02,40.349998,40.750000,39.250000,39.950001,38.924759,9229976
2022-11-03,40.000000,43.000000,39.799999,42.650002,41.555466,31445960
2022-11-04,43.400002,46.500000,43.299999,46.049999,44.868210,69164175
2022-11-07,46.849998,54.150002,46.650002,50.799999,49.496311,105238512
2022-11-09,51.900002,53.400002,49.349998,52.000000,50.665516,61408329
2022-11-10,51.599998,52.500000,48.700001,49.099998,47.839939,27966327
2022-11-11,52.250000,52.250000,49.349998,51.150002,49.837330,39360410
2022-11-14,51.450001,56.049999,49.849998,54.549999,53.150074,57183441
2022-11-15,55.950001,61.750000,55.650002,60.650002,59.093533,149513441
2022-11-16,61.599998,64.500000,60.650002,63.750000,62.113976,106255171
2022-11-17,63.750000,63.750000,58.650002,61.049999,59.483265,76883204
2022-11-18,61.450001,63.900002,61.200001,63.200001,61.578091,46353447
2022-11-21,63.400002,63.400002,61.400002,61.799999,60.214016,21905425
2022-11-22,61.799999,62.000000,57.049999,58.000000,56.511539,23580025
2022-11-23,57.950001,63.799999,56.599998,63.799999,62.162689,50605727
2022-11-24,64.900002,69.800003,64.449997,67.150002,65.426727,92474825
2022-11-25,67.849998,73.849998,67.550003,73.300003,71.418892,74360905
2022-11-28,76.300003,80.599998,74.150002,80.099998,78.044380,127136239
